"Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg Cost per Click","Impressions","Engine Click Thru Percent","Avg Pos","Trans Conv Percent","Total Cost/Trans","Amount","Total Cost","Total Volume of Bookings"
"K2615","Yahoo - US","43000000029356944","paris travel deal","Standard","Paris & France Terms","Paris","uncategorized","No Strategy","Live",6.25,136,1.48,7192,1.89,1,1.47,100.45,3280.15,200.9,2
"K435","Google - US","43000000013069065","air france airline","Broad","Air France Branded","Air France Brand","uncategorized","Position 1-2 Target","Live",18.75,770,1.01,6057,12.71,1.29,1.56,64.55,12588.5,774.61,12
"K1175","Google - Global","43000000019449400","air france airline","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,34,2.4,397,8.56,1.55,2.94,81.44,1317.5,81.44,1
"K435","Google - US","43000000013068961","air france tickets paris","Broad","Paris & France Terms","Paris Branded","uncategorized","Position 2-5 Bid Strategy","Live",15,20,2.57,72,27.78,1.01,5,51.43,805.8,51.43,1
"K2615","Yahoo - US","43000000039657941","european airline","Advanced","Western Europe Destinations","Europe","uncategorized","No Strategy","Paused",6.25,19,1.78,634,3,1.46,5.26,33.9,516.8,33.9,1
"K1175","Google - Global","43000000019449351","paris tourism","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,14,3,1667,0.84,1.19,7.14,41.97,632.4,41.97,1
"K1175","Google - Global","43000000019449260","paris cheap flight","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,162,2.36,1255,12.91,1.87,1.23,191.37,5664.4,382.74,2
"K2615","Yahoo - US","43000000027382585","airfrance us","Advanced","Air France Branded","Air France Website","uncategorized","No Strategy","Live",7.5,136,0.57,714,19.05,1.16,1.47,38.64,1132.2,77.27,2
"K435","Google - US","43000000005278792","barcelona flight","Broad","Google_Yearlong 2006","Google|Barcelona","barcelona","Position 1-4 Bid Strategy","Paused",6.25,61,2.08,1413,4.32,1.63,1.64,126.79,1851.3,126.79,1
"K2615","Yahoo - US","43000000039651070","international air fare","Advanced","Geo Targeted DC","International DC","uncategorized","No Strategy","Paused",6.25,11,2.03,586,1.88,3.59,36.36,5.58,317.05,22.32,4
"K2615","Yahoo - US","43000000029356677","france cheap ticket","Standard","Paris & France Terms","France","uncategorized","No Strategy","Live",6.25,32,1.37,181,17.68,1,3.13,43.78,606.9,43.78,1
"K2966","MSN - US","43000000031840457","air france","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Live",0,5417,1.53,39052,13.87,1.3,1.37,112.01,110667.45,8288.46,74
"K2003","MSN - Global","43000000019452514","air france com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","Position 1-4 Bid Strategy","Deactivated",0,560,0.55,2022,27.7,1.04,1.07,50.96,4070.65,305.79,6
"K2966","MSN - US","43000000031840368","air france com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","No Strategy","Live",0,390,0.88,1337,29.17,1.4,1.28,68.56,4459.1,342.8,5
"K1175","Google - Global","43000000019449419","flight to paris","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","No Strategy","Unavailable",5,385,2.34,4437,8.68,2.17,1.82,128.89,11599.95,902.22,7
