"","Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg. Cost per Click","Impressions","Engine Click Thru %","Avg. Pos.","Trans. Conv. %","Total Cost/ Trans","Amount","Total Cost","Total Volume of Bookings"
"55","K435","Google - US",4.3e+16,"rome fare","Broad","Google_Yearlong 2006","Google|Rome","uncategorized","Postiion 1-4 Bid Strategy","Paused",6.25,14,1.44,310,4.52,1.49,7.14,20.11,1489.2,20.11,1
"56","K435","Google - US",4.3e+16,"air france com","Broad","Air France Branded","Air France Website","uncategorized","Postiion 1-4 Bid Strategy","Live",15,6119,0.31,15166,40.35,1.04,1.91,16.29,132065.35,1905.86,117
"57","K2966","MSN - US",4.3e+16,"air travel in france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Live",0,2,3.78,35,5.71,6.08,50,7.56,512.55,7.56,1
"58","K435","Google - US",4.3e+16,"airfrance usa","Broad","Air France Branded","Air France Website","uncategorized","No Strategy","Live",10,57,0.26,200,28.5,1.01,1.75,15,1008.95,15,1
"59","K435","Google - US",4.3e+16,"france cheap tickets","Broad","Geo Targeted DC","DC to France Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,3,2.46,22,13.64,1.09,33.33,7.39,490.45,7.39,1
"60","K1123","Overture - Global",4.3e+16,"boston to paris","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Sent",0.73,23,0.55,699,3.29,2.5,4.35,12.59,806.65,12.59,1
"61","K435","Google - US",4.3e+16,"paris ticket","Broad","Geo Targeted Chicago","Chicago to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,6,2.45,97,6.19,1.26,16.67,14.72,940.95,14.72,1
"62","K1175","Google - Global",4.3e+16,"air france com","Broad","Air France Global Campaign","Air France Website","airfrancewebsite","Position 1- 3","Unavailable",0,661,0.31,2703,24.45,1.48,1.51,20.28,11950.15,202.8,10
"63","K1123","Overture - Global",4.3e+16,"cheap airline ticket to france","Advanced","Unassigned","Unassigned","france","Position 1-2 Target","Sent",0.31,26,0.62,9279,0.28,2.4,3.85,16.06,935,16.06,1
"64","K1175","Google - Global",4.3e+16,"air france com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","No Strategy","Unavailable",5,568,0.46,1710,33.22,1.11,2.29,20.24,15011,263.12,13
"65","K1123","Overture - Global",4.3e+16,"airfrance.com","Standard","Unassigned","Unassigned","airfrancewebsite","No Strategy","Paused",8.75,2010,0.29,37801,5.32,1.16,1.79,15.95,32613.65,574.25,36
